RX_DATA_0,RX_DATA_1,RX_DATA_2,RX_DATA_3,RX_DATA_4,RX_DATA_5,RX_DATA_6,RX_DATA_7,RX_DATA_8,RX_DATA_9,RX_DATA_10,RX_DATA_11
a1c10209,a3e10c0e,a3e34a22,a1e403a8,a125080e,a3018019,a206c900,a226058a,a2c5450a,a0c5488c,a1428103,a4050b0a
a0010609,a001c11a,a1608c03,a0000308,a2218684,a384038b,a1229516,a1a0c118,a3e34119,a1011111,a2008a17,a203511c
a2e0c406,a0084410,a2020593,a2254007,a301438c,a102c11c,a141cd88,a0620211,a167cc14,a4401190,a0844716,a0a58387
a0c10c08,a1840002,a1865090,a1a0c391,a1481503,a281c491,a3864998,a3e145a0,a160071e,a2478912,a2878991,a2e80692
a2c24805,a261800f,a0030106,a0434609,a344cd0c,a1c4109a,a3660720,a3008202,a446899d,a0c18998,a3e28d14,a2e74c89
a4434410,a0a14509,a2a88f1b,a3a40a1a,a2e80690,a2e34397,a3e49017,a40009ad,a2000813,a0084db1,a2e70e1d,a3650320
a12008a2,a0014180,a1c30a98,a0a00990,a244ce12,a26a098f,a2468e89,a3220210,a284901b,a2030e94,a164cc90,a2208e16
a2e3d080,a0400886,a0e08a8c,a261870b,a1834b07,a1a5c594,a2074102,a302890e,a345ca19,a246899d,a3230710,a0c4088d
a2c28887,a0a38506,a1010395,a043c915,a1c44c82,a2238a15,a2254494,a1e60622,a0e08400,a2218a19,a2828723,a267029a
a3600c90,a0a60804,a225c31a,a2a54d95,a1808386,a204411c,a2441411,a2210891,a1048c8e,a082060e,a249d28b,a1a3448b
a2438905,a2250699,a0c44488,a2620b8f,a2a3438a,a0410a0a,a3658914,a0048587,a2c7cb0c,a206838a,a2430400,a203881f
a0a50100,a140c313,a04685a1,a0814282,a2c80a0f,a304cc8e,a22a8d80,a1e60204,a2608117,a0a48107,a1474593,a3818988
a1600e13,a0a0c394,a124ca85,a0810700,a0844215,a0058595,a1008882,a2040420,a0080e02,a1408700,a365938e,a3c2c418
a2400186,a0400918,a1c2c600,a1020108,a2e60195,a1624d0f,a2060905,a1255011,a343cd07,a3668892,a104c80d,a2a24a11
a20642a1,a1000d04,a1c28f9d,a0c40689,a1c58a0d,a1c0c19a,a2014c10,a066428b,a2a68318,a181071a,a3c2cea7,a3050c1c
a1010112,a144ca86,a1c38392,a2014d87,a124071a,a1468d05,a3880a10,a2024107,a0e00014,a3090104,a2c40ca1,a442ca25
a4048e98,a0848704,a3c3c400,a205c2a6,a364cc83,a2048d8e,a2844c99,a2624b07,a0e68a1d,a184438a,a221cd0e,a46649a1
a043830e,a240c107,a1c1cc20,a180c015,a0844a8a,a120c883,a4008505,a0a4d213,a0824298,a0a60d96,a2444183,a0451098
a3000112,a0054002,a0a54a93,a1e0c109,a401d112,a0868394,a160c286,a2615294,a261001e,a004c915,a266498b,a30407a4
a364cd99,a1234a06,a2608c9a,a3e7ca80,a201d2a2,a3054413,a4c90517,a0e70513,a0e2c79d,a3040510,a1a44b00,a3220509
a0e14282,a2614208,a2000f13,a1a0c602,a3a58999,a2e68183,a1660785,a0414a84,a2244a02,a3e48587,a1a50916,a4c58993
a0014a09,a2000010,a0a84184,a2c00611,a3274b0a,a2e3d0a6,a102c218,a0650407,a1670b98,a284c608,a0054715,a4244693
a2809109,a2020a21,a4460d95,a0010996,a2a40507,a3a64c1d,a286049a,a280059a,a0e40106,a1409609,a185489f,a3a14893
a1a14a07,a001059f,a0830c08,a0a1d102,a2258119,a2064391,a062c30b,a0c08013,a401cd11,a5248590,a0e4c012,a0c45091
a080048b,a2044619,a1a14405,a3208407,a2e64815,a344880a,a140011a,a0e08488,a0434011,a065870d,a0808682,a2a2d39a
a0430602,a1258390,a0424183,a1648404,a166918a,a1670e12,a1c2c40c,a0e28c82,a1c18211,a121c488,a3a3cb84,a4244427
a0a0878d,a0010698,a2a0c012,a0828394,a2620a07,a1640000,a1c2cd95,a3a64610,a1054d0d,a480908a,a0414986,a1850299
a0a00a15,a2c5418b,a063491a,a3408415,a3058790,a0e68390,a104c38b,a062448f,a3090615,a2e74899,a2a58909,a3618b88
a0e80209,a2e10112,a1068320,a2e5c304,a3244890,a060c390,a0e7c58b,a2228399,a2434606,a0a60c1e,a0460709,a1e6501e
a003810e,a2a08802,a486031c,a4400202,a502c9a0,a1a4cb85,a4e6828b,a5448c86,a3428015,a2258807,a2654d1b,a3420a99
a4048e98,a0848704,a3c3c400,a205c2a6,a364cc83,a2048d8e,a2844c99,a2624b07,a0e68a1d,a184438a,a221cd0e,a46649a1
a0814480,a0414e07,a0614882,a000c59d,a164488c,a2244a8b,a242419b,a002448f,a3814480,a0034907,a2010116,a1430913
a0020a83,a0a08198,a3a20b11,a0018492,a0480890,a3464a9b,a362810d,a000c386,a1a1c00c,a04285b1,a3e2900b,a5400b8c
a2230784,a0e28686,a2438212,a0028810,a2060817,a2058e22,a1620814,a2a28b00,a2e1c294,a2240902,a407cc19,a4288b27
a2040a10,a0630b02,a082c90f,a2668983,a1451099,a2c4849e,a2854914,a0474211,a2a1011a,a2254892,a1234b07,a3224308
a001c00d,a080ca90,a182cc98,a1658a19,a2a80ca3,a0a20807,a281ce14,a1a84018,a2a60b04,a1e9d009,a0c64413,a5428a98
a0048108,a0c0060b,a1c1061b,a0a1468d,a1c3040c,a1c00404,a180c704,a1220312,a1014912,a1400e92,a24cc214,a1250621
a0c24787,a2834f05,a1244d19,a1c38d10,a2648683,a0c38e0e,a1840c02,a042c205,a261038c,a084080a,a3248813,a0a2048f
a2434218,a000800b,a0c48480,a304c603,a0a5018e,a0e68114,a0e08b18,a1c4078d,a0074602,a0e00184,a1c6cc1b,a1e407a8
a006c004,a001ce8e,a201478d,a0434007,a2060004,a0848198,a240870a,a0e60003,a141061f,a1234813,a2674483,a283468a
a3438191,a2000702,a0668302,a0c3488a,a102060d,a246cd12,a1c40b11,a0e30d20,a341c119,a086460c,a1654418,a224080a
a0600211,a0e14100,a3271016,a3418200,a3e6051c,a0e60b84,a4e0c997,a303c688,a2408297,a1e14b04,a2630289,a0c4ce11
a1814487,a0814e83,a0008a02,a2058c87,a5220b94,a3068b11,a549411d,a2e68498,a101c811,a0808404,a0440894,a1a30895
a0c10419,a0600011,a222c510,a2c88c0c,a2a6d09c,a3860009,a2618a91,a1080633,a2258114,a0008195,a242c010,a2008e15
a2200385,a2a00118,a0484911,a2024d87,a2468110,a2a40483,a3040e9c,a0808106,a126c882,a0634596,a146ce1b,a102420c
a04084a1,a0058015,a1600296,a006ce91,a2a6ca9c,a2800616,a200c10c,a3210013,a1628c12,a224ce8c,a1264e10,a463caaa
a2a54111,a0a38402,a0050000,a0610117,a2c6cfa7,a3064110,a2454a02,a243421b,a1214590,a0028585,a0a08896,a36484a5
a3810a0b,a0430888,a464c584,a0e28012,a4254894,a20341a2,a3038691,a3008111,a2a44499,a1818599,a1630813,a2c615a1
a2c24b00,a0090219,a106c98a,a1438818,a3c58b9c,a0858a87,a2264fac,a4014d89,a1430a91,a1648da3,a2440798,a2e64d9c
a1a5038f,a0a40405,a1810384,a3c60688,a30b8511,a0e60194,a1814b20,a3c74284,a2e30413,a2058126,a381c30c,a4a49291
a225c822,a2a45215,a2824d83,a2438b02,a1c5039a,a3080617,a3a68a07,a042c7a0,a181cda0,a2c2c890,a0a70922,a5020d8f
a3440419,a1614c8a,a0008400,a1400292,a264c812,a0408909,a30a4b95,a3a8438c,a3408b85,a1a0839e,a2065092,a1e64e10
a043c882,a0048500,a0e2c38a,a1648706,a2a38011,a2628c1a,a420c806,a0a78406,a481800b,a1214a91,a2000419,a3048385
a242088a,a2020902,a0865007,a0808810,a4294b1f,a3848012,a304520a,a0644d29,a1e10604,a7255496,a225099c,a2a44524
a401c980,a0040686,a0e68b8e,a0044a08,a262cb19,a2854c16,a388061e,a1660818,a2828905,a2c10393,a1c2c720,a0a5441a
a165c408,a2a28e99,a1644795,a2a5010a,a3020e8a,a223c488,a0a14a00,a2884611,a2a2ca21,a24641a8,a3a5099b,a1238806
a4691021,a244c10e,a083d39e,a3c2cd9b,a1858907,a0c3098b,a3248f23,a3060887,a3264b15,a2040280,a2210a0a,a4810a15
a0e10388,a203c103,a2c24306,a0a54802,a046ca15,a166c011,a2200702,a1444016,a0814102,a1600284,a2874c11,a366899e
a3034705,a2254102,a0050a86,a220c882,a4238704,a1201512,a2e10b10,a1619080,a102c18f,a2880815,a126491c,a323d10b
a2e3080b,a203c104,a0e2cb0b,a0018004,a2040918,a0e60814,a144049b,a4028818,a1448208,a549081c,a0a1c402,a344041f
a083c911,a005c892,a1208710,a0c0859b,a242c29f,a3218288,a322c204,a0a00383,a1a1ca88,a0c20495,a3a1440c,a486c99f
a0e08480,a2800785,a000cda1,a320879c,a1440306,a2209091,a2e18911,a1240c1b,a220c48d,a1a4c303,a5060810,a3a44895
a1c00102,a0e10403,a18a4890,a1a08214,a3a80d9a,a340c90f,a0a08102,a0000202,a286861f,a3428e94,a2818da1,a424049d
a2000d0d,a2460f09,a3054914,a2028488,a3064b82,a1419021,a422c013,a1a3001f,a0e5c28a,a0c2cd08,a264110e,a1e145a0
a04a4102,a0418e80,a2808d92,a1410480,a2014b8a,a2c9068e,a2648990,a1470a15,a1034012,a2c9ca18,a0868d94,a2e0901a
a2e28105,a2a40480,a0e34004,a3028683,a1214996,a3a60c15,a1a14100,a1808c16,a1a54185,a0e2c187,a0440905,a4850a8b
a0e10d11,a0a3ca00,a0e44008,a002c11c,a1884197,a0a49410,a2200795,a1e50914,a001058b,a2654282,a1484797,a4244f91
a0a08204,a0018310,a3238907,a081c511,a14a0218,a1c58005,a364cd84,a203888d,a043091c,a1a84fa2,a1a6090f,a365cc18
a0c00b80,a3064206,a0018405,a3648418,a2074a91,a1a30106,a22a4804,a0e08382,a1a7c99e,a30d4b9a,a064c319,a1200288
a3c60480,a1418300,a220c280,a140c482,a2e40680,a1e58a92,a2808282,a0a99296,a104c906,a2650800,a0420410,a3000611
a2a08289,a1e18989,a2050a8f,a300810b,a341430b,a2a1c613,a162cb18,a065050f,a0044c8f,a009088e,a463c494,a2468c9e
a3828200,a2890c98,a3288884,a1665088,a2698a95,a20a4895,a226420f,a0850a8c,a2014517,a2c38c0b,a2a20d1b,a4858391
a0814909,a1a44991,a2a50d99,a3480d0a,a2a8c600,a3640d19,a1670a98,a2854517,a2a5cd97,a3460917,a0a44d9b,a3424282
a2008392,a0a00802,a081c48a,a1848a8a,a2a5c588,a2a14d03,a085c817,a207c49d,a14807a1,a2048682,a3230119,a4880a98
a0a38a12,a1400310,a2898182,a2408282,a3068b95,a2c0cc25,a1638499,a061850e,a1c6c914,a2a48107,a0848a92,a406491f
a0420183,a000c914,a0454b12,a120059f,a1845094,a0c3c415,a166c783,a2c08202,a341c003,a046511b,a086859b,a3208c9e
a0c0098b,a2e94100,a0c14d96,a3210108,a1e20628,a0060399,a1014505,a3040304,a3018485,a205c892,a1a50108,a085099a
a3270616,a3668980,a183c319,a0a54002,a1048b91,a2e80287,a3040295,a3444000,a000011a,a2a1c885,a1450108,a1e08e0b
a2a48f1f,a3008004,a247c78a,a0054390,a1454e03,a2054280,a2c2471d,a1014382,a045110c,a266a005,a1430e03,a3e18112
a1c1c388,a205ce08,a183889b,a3884b1c,a124898e,a2270c9f,a4211516,a464881e,a0e5c714,a2040c84,a2008e8b,a2625016
a3e4c009,a2814100,a2408593,a2281006,a1434788,a2268589,a2a54282,a0098c9a,a0a48d8c,a0e70b06,a0a20491,a2814989
a1ea0da1,a0e38600,a0630607,a1800100,a4c50aa0,a123460a,a263cc1b,a326c5a2,a3260a15,a0a58102,a204410a,a3a3c199
a4410d82,a3068683,a2c1c180,a1e3cc05,a2458805,a142c213,a2e4c405,a0e14906,a1c6478c,a2c48014,a120068b,a3498398
a000888f,a0428707,a0850105,a1048999,a1420990,a5438b10,a0058404,a1610107,a349c11f,a223cb92,a085c718,a1450614
a1a08283,a187cf23,a2e18d12,a2028634,a368c816,a0698d24,a2845192,a2c288b0,a1e54d13,a0c5c593,a124cda7,a3208491
a3e38c8f,a0614314,a2e08a8f,a1200402,a26586a5,a3014285,a1a2d49d,a2e18019,a383c786,a0e31310,a1014120,a1c191a0
a240868e,a0000107,a0041103,a040c002,a2ab8106,a1e79093,a2a5c719,a1e1c90c,a2614500,a2448307,a201c89d,a5461028
a0008982,a1090c8c,a4480d8f,a1a89006,a3068417,a4260da8,a4e54696,a121418a,a326079a,a0e7d088,a4268913,a3268c97
a326c01a,a2600193,a2054712,a042c214,a2644492,a201c30d,a302c500,a3820598,a3234f16,a244ca87,a2c6c582,a3a24796
a3218593,a0e1048a,a0e0001c,a204c105,a3820708,a1a3418c,a4078b15,a0a5ca87,a0818c18,a1c40999,a4820994,a3644c22
a060850e,a1220814,a0434409,a2c6090a,a3460686,a280c811,a0a54717,a3c00485,a465401c,a0458610,a1c4400a,a2215084
a0044282,a3c0071c,a2c08c0d,a00a410a,a0434212,a2064804,a000040a,a0408403,a1e6010a,a0a3cd87,a0008809,a1628a1c
a0a4c209,a10188a3,a080c506,a1468900,a3068a8c,a202021c,a0c34110,a0038495,a0c1418c,a222cc9c,a1a44499,a3a68b25
a261ca07,a064c105,a1a08603,a0448c82,a241490a,a242c60e,a0a61082,a0a20780,a303491b,a3848c0e,a0801492,a2634987
a320c189,a1a24000,a0818416,a1c80c87,a1a6478d,a0a74709,a0ca0018,a301c2a0,a443c111,a0058c0f,a301cf8b,a3448b20
a0c08412,a0408a9a,a120d000,a141428c,a1e5c515,a3868a87,a2a68997,a243038c,a062c493,a3048d99,a2674c18,a3a58902
a0400a83,a2628008,a2448400,a283870c,a4264425,a3031115,a303d216,a1444991,a1044199,a261850c,a2455199,a4260c1d
a140880c,a0a49202,a1a30b8c,a2c41105,a0e5060e,a000c605,a1240713,a1034108,a002060c,a182cda8,a0420316,a4260e28
a2208498,a281498e,a0a30617,a5644413,a2a50c1c,a30501a2,a2c30a02,a1e3c11e,a2c3c617,a2251011,a3e74597,a3010c21
a0c3c103,a263cf88,a0c70183,a3a1d01e,a102419c,a1224916,a066108b,a302428c,a1250c13,a3230006,a005880d,a225c684
a3a4488e,a2090c99,a349c205,a2065215,a469100a,a20a8b15,a004459c,a4060d92,a24250a4,a2c44c99,a262c89e,a4c6c512
a3060787,a0048b93,a1408283,a1064487,a36205a0,a3050818,a2a5d80e,a2a48514,a1858b91,a04692a0,a242431e,a224101a
a1e0c800,a1278885,a0038892,a3010c1e,a105810a,a0c08625,a263ce04,a0c1418c,a2418e92,a2634995,a0e50812,a2aa0b9b
a242c488,a1814880,a2008505,a0030293,a0618313,a2a58c18,a3018922,a3089017,a4230b0a,a165c898,a4260e20,a365d0a4
a0a24125,a3028103,a5220515,a2624ca2,a061080c,a1800882,a144c506,a0c30589,a0410a05,a0a3010b,a1431482,a122cd98
a0800ba0,a2028908,a1428608,a060898b,a1448911,a5450911,a1e24c19,a2c0819c,a129c896,a2e6088f,a1820a05,a2e58712
a2220306,a1038686,a042c00c,a120c10b,a1480c99,a4450303,a341420c,a001030c,a0e3499d,a1a6891d,a200c311,a3834492
a004928e,a041830a,a1c4c90c,a182cc16,a1834983,a2848d0f,a0a0c18c,a2448918,a2444f1c,a3448f1e,a1218721,a3815013
a2464007,a243909e,a0c4c902,a1e08386,a005921a,a2c10028,a444cc8e,a081c286,a1c08da0,a3440a9e,a124c489,a2e40821
a1800792,a0c18998,a0028900,a1e48b02,a2058685,a244c008,a3808d0e,a1c60112,a240089c,a3a48f88,a2464d8e,a4438f16
a0000382,a140810e,a000c389,a3838485,a0c0028c,a180018a,a3240a97,a081c788,a1e4461f,a2a1861e,a520871e,a302020e
a6474982,a0828303,a1c30906,a082411a,a3630b19,a1808594,a4a2070e,a144c612,a1600589,a0049127,a2e28314,a345c21a
a4208118,a1c2898b,a302c402,a0034115,a3e6cd2a,a5860491,a2650603,a161c68d,a0664500,a0e10e14,a2864616,a288119b
a0454006,a144400b,a100c002,a0c08289,a1a88c07,a3214499,a2020419,a04148a0,a1c1c102,a185110d,a0630984,a144438c
a0a50887,a1a4879c,a241498e,a3020684,a208c282,a2024300,a121071b,a486400c,a0a0079b,a301479d,a0818905,a307c724
a2614102,a0040a00,a3028c0b,a2a4030c,a4094815,a1288d17,a0020e82,a0418011,a524039c,a1460417,a381489c,a5044a19
a225c40b,a0e30c99,a0a30883,a1418700,a1e0d6a2,a405850d,a0060816,a0420410,a1644408,a1024899,a3434890,a1810102
a000828a,a0c003a1,a2a2c891,a144020d,a2020795,a0620810,a2040c00,a0408109,a0020492,a0e48910,a2a48386,a1e5ce96
a2844291,a0444180,a2064e8b,a1040208,a368d090,a2078191,a34642a3,a3881098,a3468b13,a4a5c291,a14a8787,a0c3c815
a205878a,a0030787,a2014703,a1000306,a2c80798,a2648b20,a2a1cd9b,a1244a1a,a000050a,a2260f95,a100898c,a4e7ce21
a246c398,a2e20d28,a286c986,a2208100,a407ca92,a123c686,a101c20b,a2aa8d0e,a1c4018e,a1660d95,a3048f03,a3a4cd0c
a0800108,a0414282,a161d088,a0008a97,a4a70c16,a0438b82,a126480b,a2210317,a240038c,a2038808,a2880814,a3244808
a0008700,a129d01b,a3428991,a0458404,a0a58c08,a120039a,a3070280,a0818100,a2658190,a3284912,a2e2099a,a2040d9c
a004c302,a0c3c102,a1e30c22,a2860115,a0874b98,a2c0ca21,a3260c1e,a0aa4018,a3674c99,a1670b21,a003088c,a2a64315
a0a44606,a1e2849e,a240038d,a2e8c485,a3064302,a2020a87,a2220b18,a2a14605,a2c6070c,a005c792,a2840102,a245cf94
a0020580,a0054100,a2258694,a2848289,a566ce9a,a245c304,a524cd0d,a0c14288,a3030493,a1430100,a32350a0,a225d19c
a3680c86,a0464a91,a3e707a0,a384c816,a204d61e,a1688c94,a241ca97,a3c65099,a3261496,a1a3cb12,a0a6450c,a280ca93
a2618415,a2470682,a3430f8d,a2a14598,a3664910,a5a40c19,a2438819,a0628c04,a5068819,a0020507,a36350a0,a3060e95
a0600a02,a0024204,a225869f,a061c206,a1464993,a3048c10,a202489a,a061ce03,a1450d98,a2811012,a2a49398,a164cba8
a1438d86,a040c782,a242c210,a0428203,a4834514,a3470b8d,a1a0c797,a0020996,a1470219,a4450405,a102018a,a283861e
a200100e,a1084029,a0a78d0b,a0c1418d,a0014920,a0010013,a364c78f,a1a00588,a142c008,a264ce1c,a304cc8e,a4458e95
a0c30a82,a1858011,a4040620,a2e2010c,a2838a8e,a405c8a1,a043010f,a3c1c915,a3240202,a1870c18,a3e51085,a002101a
a0608210,a0c0018a,a161c382,a200888f,a2c58821,a2400615,a1214289,a5610b0f,a002870f,a1a08895,a2630685,a404048e
a2464409,a040ca28,a0074684,a162d60e,a3468395,a2050d94,a2678a0b,a3478912,a0c18a9c,a3084713,a2e4c714,a3840526
a1e50390,a2408582,a5410f1b,a2a34217,a2a4c717,a2a5480b,a2c2ce23,a0424c39,a2630a15,a045029b,a2224218,a0c60d16
a160800c,a2414006,a0e29007,a1e40206,a127011b,a649cd98,a1818991,a4414d9a,a3010485,a0e24a07,a1c5c88c,a4240b9b
a0414b0b,a001c790,a181cc03,a283c607,a504021d,a005840f,a204820a,a0e20005,a3e4c69a,a2ea9110,a388cb15,a308878e
a2654491,a3000310,a0814913,a1a09199,a0c8802e,a203c802,a1c74a84,a2010a13,a2a54498,a0e60c9c,a044c407,a2c3cf89
a0424002,a121010c,a0a08491,a1254115,a124c90f,a2c10a17,a1244e17,a0620590,a3014d12,a3640823,a183490c,a566479b
a0420993,a3084815,a0814d00,a3a20b19,a047cb9b,a4e4c703,a1834b05,a0c00a8c,a2c00911,a2c24799,a260ccaf,a346cd9b
a120c783,a0008600,a0840188,a104491a,a325089d,a2248502,a2c4010b,a0a14103,a1044780,a003c88e,a1a44913,a360058d
a066c006,a0018883,a1010813,a0a1c311,a041c402,a3034311,a3a50f86,a0414209,a2a85011,a1444b98,a2c50395,a1679121
a2274a86,a043cd00,a3084a02,a261d2a6,a1e4d017,a042048c,a0a3410f,a2e64d11,a307c589,a1231217,a32648a0,a3631099
a2244986,a083000f,a1444002,a126068a,a346089f,a2c84494,a304080e,a209c115,a0c54303,a1e40e80,a2018c95,a4050a98
a0008a84,a0c8c815,a3a84d0e,a1c7900f,a2864914,a405cb1a,a5064f96,a0400102,a3260718,a0a70c02,a166c917,a2a58b93
a205c304,a0834d88,a241868c,a2000004,a2a70009,a26ac219,a4a68d83,a0468018,a100cd88,a0414e06,a3830913,a3271090
a4810802,a1214000,a340028b,a0814a88,a3c38a06,a1e9ca89,a3268887,a166c58c,a2a54194,a0638a11,a2218e9f,a3c706ad
a0478487,a3070389,a1c44183,a1808d0f,a2840f11,a0838c12,a184400d,a1c20015,a265c01e,a180c386,a12504a1,a204caa1
a2a6010e,a401080f,a2464e0e,a0814483,a2244c90,a2a54705,a181c592,a064868d,a245490d,a2408788,a5470816,a4830018
a1408808,a1688200,a0818805,a261d398,a186cc92,a2c18386,a2624307,a0000008,a1638419,a2048785,a2c64286,a1e1448e
a0460291,a0e00580,a3430c1a,a401021c,a2684909,a0e30813,a1a28286,a0615017,a4c5c795,a301c698,a4244c25,a5068825
a0e00480,a0e34000,a0a44018,a1e08295,a126c602,a0e4c494,a0e54a0f,a044cb07,a1038588,a1a408a2,a1810c8b,a3044d11
a0e1c698,a3018d05,a102048a,a1e50318,a3a3088c,a164081e,a124088a,a2478922,a2648922,a2c2481c,a3230712,a3458c18
a0a08e92,a243c1a8,a2074c17,a160888f,a0c38721,a0a1820b,a384c802,a0e0868c,a162c289,a185121b,a3248a93,a4460f99
a0028300,a288c482,a122c91f,a3415298,a2278804,a284c786,a2c38782,a0408106,a264811d,a2040985,a386878c,a2414914
a0028205,a140030d,a1400108,a18005a1,a2c1c686,a162c985,a0448399,a1e2829a,a1c30da2,a4a38f88,a3450c18,a2844218
a3454c0a,a5e49202,a0e50284,a2854305,a2c5478b,a1c44e94,a1c20e11,a105cb05,a140098a,a2838590,a0c51188,a0c50b94
a1450708,a0a50393,a360898b,a361418a,a001471a,a3020a99,a1c60391,a1200280,a2214492,a2485007,a1e30d93,a181d091
a262800a,a0a2000f,a5250513,a225470b,a2e3cc07,a3c70998,a40658a3,a0c60e39,a1024c0c,a1240291,a060c816,a165c693
a042c190,a2e08393,a3648f8e,a126c492,a3a65027,a0068586,a2041019,a1a09080,a2424c14,a1460c16,a3270c1d,a3088f12
a324c490,a2854b87,a0610815,a1464a8b,a38b101d,a1880d04,a2c68d0b,a4430a91,a0644796,a204cb9d,a322868d,a328428a
a3e00111,a206860b,a187040c,a100cc10,a1060d08,a144d013,a1080896,a241caa2,a084c283,a0a4ce0c,a223c906,a3c3cd10
a247811a,a0030206,a0400189,a283801c,a2200598,a3250a1f,a0a20685,a260c111,a0c44811,a263510e,a2a00405,a1450b09
a1c00393,a0a00180,a0608d0f,a0c20212,a124ca02,a3858619,a3030f1d,a0408c91,a1a74d06,a2c40f09,a3260191,a1818e1a
a3a5c615,a1614998,a0e34384,a266ca10,a081c907,a3244105,a3250c90,a385c10e,a2a0839b,a3a54e8e,a1a48d87,a2820e94
a001c618,a0e74fa6,a000c90d,a2675115,a1438a99,a162ca95,a0870984,a0c24889,a1840880,a3060e0d,a1818818,a4038a89
a3428393,a1600e9b,a1440297,a0600106,a2044994,a24004a8,a2640e08,a1870b18,a1c40805,a1a34b82,a4060f21,a206108b
a044c102,a0041300,a2c18298,a2a48c0d,a106440c,a3249092,a0c1c809,a080c405,a2e0841a,a1020293,a245060c,a2440c11
a0e00906,a1c34495,a446091c,a241011a,a2060513,a0864e21,a0e0cd9c,a301cc15,a3050583,a0c15595,a2260418,a1c20d82
a480829d,a3648495,a2654105,a4854516,a2864115,a281c58f,a1428507,a2e18011,a10a9290,a361c007,a0c0c011,a3034e09
a0a38684,a3424984,a245ca20,a2400204,a2860316,a0c1098e,a3274203,a2678806,a0820902,a080ce02,a2448212,a385541d
a4408018,a0034182,a1270709,a0408202,a4048799,a3600c02,a0a65213,a2248810,a2a2cf18,a2e4c40a,a0438b0c,a2610682
a443c980,a044c21d,a2648c8b,a2250410,a3285320,a3680212,a3854997,a3e7438d,a1624708,a3a44a0c,a1064c22,a3060004
a142420f,a2064886,a060018d,a2e30002,a105cba4,a365118c,a203c688,a161d095,a0440d19,a2670d11,a1a2099c,a3060fa3
a2a4818b,a3224392,a0418918,a0a5071a,a2840a9f,a0e64019,a5484a09,a3024698,a2064391,a0a0869c,a145ca90,a2240791
a0c18000,a0c28108,a3455204,a0a24d2b,a0430d18,a2840c0d,a2e7148d,a2c70105,a1410209,a3010406,a0a0c392,a264ce17
a3c6501b,a5424111,a1050d94,a3060d08,a4c60595,a3228c1f,a3a30a12,a1e64d06,a0440109,a12acd1f,a0818c9c,a225cc99
a2c00b12,a2220803,a1610790,a049000b,a327c617,a2848992,a0858911,a0a2ce07,a0848315,a2a34b1a,a224869c,a185c391
a1808180,a044c413,a2a44491,a1234006,a3009818,a2288c05,a50cc506,a2a0c80f,a3224c8f,a0429496,a1238180,a3258623
a5220c99,a2c34304,a2254693,a1818506,a4eb081b,a3048913,a007c999,a2420e13,a225c400,a0824695,a008839b,a3614399
a0e00182,a0c24300,a0c509a5,a0000882,a1220892,a3028486,a18c098b,a1050606,a2a0c609,a2238918,a2660f12,a0a44915
